Flag,O0,O1,O2,O3,Always on/off (1/0) in train18a,Description,XOR,Include,Reason,Reason code,Dependent on,In arm-none-eabi-gcc 4.9.3,why missing,,O0,O1,O2,O3,,Always On,Always Off
-ffloat-store,0,0,0,0,,,,N,stores floats on the stack (slow) instead of registers (fast),B,,TRUE,,,-fno-threadsafe-statics,-frename-registers,-fipa-profile,-finline-small-functions,,-fweb,
-fforward-propagate,0,1,1,1,,,,Y,,,,TRUE,,,-ftoplevel-reorder,-frtti,-fipa-pure-const,-fipa-cp,,,
-fgcse,0,0,1,1,,,,Y,,,,TRUE,,,-ftrapping-math,-fsched-critical-path-heuristic,-fipa-reference,-fipa-cp-clone,,,
-fgcse-after-reload,0,0,0,1,,,,Y,,,,TRUE,,,-ftree-coalesce-vars,-fsched-dep-count-heuristic,-fipa-sra,-fipa-profile,,,
-fgcse-las,0,0,0,0,1,,,Y,,,,TRUE,,,-ftree-cselim,-fsched-group-heuristic,-fira-hoist-pressure,-fipa-pure-const,,,
-fgcse-lm,1,1,1,1,,,,Y,,,,TRUE,,,-ftree-forwprop,-fsched-interblock,-fivopts,-fipa-reference,,,
-fgcse-sm,0,0,0,0,,,,Y,,,,TRUE,,,-ftree-loop-if-convert,-fsched-last-insn-heuristic,-fjump-tables,-fipa-sra,,,
-fgraphite-identity,0,0,0,0,,,,N,graphite,N/A,,TRUE,,,-ftree-loop-im,-fsched-pressure,-fmath-errno,-fira-hoist-pressure,,,
-fguess-branch-probability,0,1,1,1,,,,Y,,,,TRUE,,,-ftree-loop-ivcanon,-fsched-rank-heuristic,-fmerge-constants,-fivopts,,,
-fhandle-exceptions             ,0,0,0,0,,,,N,not an opt,E,,TRUE,,,-ftree-loop-optimize,-fsched-spec,-fmove-loop-invariants,-fjump-tables,,,
-fhoist-adjacent-loads,0,0,1,1,,,,Y,,,,TRUE,,,-ftree-phiprop,-fsched-spec-insn-heuristic,-fomit-frame-pointer,-fmath-errno,,,
-fif-conversion,0,1,1,1,,,,Y,,,,TRUE,,,-ftree-pta,-fsched-stalled-insns-dep,-foptimize-register-move,-fmerge-constants,,,
-fif-conversion2,0,1,1,1,,,,Y,,,,TRUE,,,-ftree-reassoc,-fsection-anchors,-foptimize-sibling-calls,-fmove-loop-invariants,,,
-finline,1,1,1,1,,,,Y,,,,TRUE,,,-ftree-scev-cprop,-fshort-enums,-foptimize-strlen,-fomit-frame-pointer,,,
-finline-atomics,1,1,1,1,,,,Y,how different to the others?,,,TRUE,,,-ftree-slp-vectorize,-fshrink-wrap,-fpeephole,-foptimize-register-move,,,
-finline-functions,0,0,0,1,1,,,Y,,,,TRUE,,,-ftree-vect-loop-version,-fsigned-zeros,-fpeephole2,-foptimize-sibling-calls,,,
-finline-functions-called-once,0,1,1,1,1,,,Y,,,,TRUE,,,-funit-at-a-time,-fsplit-ivs-in-unroller,-fprefetch-loop-arrays,-foptimize-strlen,,,
-finline-small-functions,0,0,1,1,1,,,Y,,,,TRUE,,,-fvar-tracking,-fsplit-wide-types,-freg-struct-return,-fpeephole,,,
-fipa-cp,0,0,1,1,,,,Y,,,,TRUE,,,-fvar-tracking-assignments,-fno-threadsafe-statics,-fregmove,-fpeephole2,,,
-fipa-cp-clone,0,0,0,1,,,,Y,,,,TRUE,,,-fweb,-ftoplevel-reorder,-frename-registers,-fpredictive-commoning,,,
-fipa-profile,0,1,1,1,,,,Y,,,,TRUE,,,,-ftrapping-math,-freorder-blocks,-fprefetch-loop-arrays,,,
-fipa-pta,0,0,0,0,0,,,Y,can cause excessive mem and compile-time usage on large computation units,,,TRUE,,,,-ftree-bit-ccp,-freorder-functions,-freg-struct-return,,,
-fipa-pure-const,0,1,1,1,,,,Y,,,,TRUE,,,,-ftree-ccp,-frerun-cse-after-loop,-fregmove,,,
-fipa-reference,0,1,1,1,,,,Y,,,,TRUE,,,,-ftree-ch,-frtti,-frename-registers,,,
-fipa-sra,0,0,1,1,0,,,Y,,,,TRUE,,,,-ftree-coalesce-vars,-fsched-critical-path-heuristic,-freorder-blocks,,,
-fira-hoist-pressure,1,1,1,1,1,,,Y,,,,TRUE,,,,-ftree-copy-prop,-fsched-dep-count-heuristic,-freorder-functions,,,
-fivopts,1,1,1,1,,,,Y,,,,TRUE,,,,-ftree-copyrename,-fsched-group-heuristic,-frerun-cse-after-loop,,,
-fjump-tables,1,1,1,1,,,,N,not an opt – for dynamic linking,N,,TRUE,,,,-ftree-cselim,-fsched-interblock,-frtti,,,
-floop-block,0,0,0,0,,,,N,graphite,N/A,,TRUE,,,,-ftree-dce,-fsched-last-insn-heuristic,-fsched-critical-path-heuristic,,,
-floop-interchange,0,0,0,0,,,,N,graphite,N/A,,TRUE,,,,-ftree-dominator-opts,-fsched-pressure,-fsched-dep-count-heuristic,,,
-floop-nest-optimize,0,0,0,0,,,,N,graphite,N/A,,TRUE,,,,-ftree-dse,-fsched-rank-heuristic,-fsched-group-heuristic,,,
-floop-parallelize-all,0,0,0,0,,,,N,graphite,N/A,,TRUE,,,,-ftree-forwprop,-fsched-spec,-fsched-interblock,,,
-floop-strip-mine,0,0,0,0,,,,N,graphite,N/A,,TRUE,,,,-ftree-fre,-fsched-spec-insn-heuristic,-fsched-last-insn-heuristic,,,
-fmath-errno,1,1,1,1,,,,N,standards,S,,TRUE,,,,-ftree-loop-if-convert,-fsched-stalled-insns-dep,-fsched-pressure,,,
-fmerge-all-constants,0,0,0,0,,,,N,standards,S,,TRUE,,,,-ftree-loop-im,-fschedule-insns,-fsched-rank-heuristic,,,
-fmerge-constants,0,1,1,1,1,,,Y,,,,TRUE,,,,-ftree-loop-ivcanon,-fschedule-insns2,-fsched-spec,,,
-fmodulo-sched,0,0,0,0,1,,,Y,,,,TRUE,,,,-ftree-loop-optimize,-fsection-anchors,-fsched-spec-insn-heuristic,,,
-fmove-loop-invariants,1,1,1,1,1,,,Y,,,,TRUE,,,,-ftree-phiprop,-fshort-enums,-fsched-stalled-insns-dep,,,
-fnon-call-exceptions,0,0,0,0,,,,N,exceptions,E,,TRUE,,,,-ftree-pta,-fshrink-wrap,-fschedule-insns,,,
-fnothrow-opt,0,0,0,0,,,,N,C++,N/A,,TRUE,,,,-ftree-reassoc,-fsigned-zeros,-fschedule-insns2,,,
-fomit-frame-pointer,0,1,1,1,1,,,Y,,,,TRUE,,,,-ftree-scev-cprop,-fsplit-ivs-in-unroller,-fsection-anchors,,,
-fopt-info,0,0,0,0,,info,,N,"gives info about optimizations/missed opportunities, but doesn't perform optimizations itself",I,,TRUE,,,,-ftree-sink,-fsplit-wide-types,-fshort-enums,,,
-foptimize-register-move,0,0,1,1,,,,N,Identical to -foptimize-register-move,Duplicate,,FALSE,appears to have been removed in changelog-2013,,,-ftree-slp-vectorize,-fstrict-aliasing,-fshrink-wrap,,,
-foptimize-sibling-calls,0,0,1,1,,,,Y,,,,TRUE,,,,-ftree-slsr,-fthread-jumps,-fsigned-zeros,,,
-foptimize-strlen,0,0,1,1,,,,Y,,,,TRUE,,,,-ftree-sra,-fno-threadsafe-statics,-fsplit-ivs-in-unroller,,,
-fpack-struct,0,0,0,0,,,,N,makes code sub-optimal and incompatible with other binaries generated without the switch,B,,TRUE,,,,-ftree-ter,-ftoplevel-reorder,-fsplit-wide-types,,,
-fpeel-loops,0,0,0,0,,,,N,Without profiling same as unroll-loops,P,,TRUE,,,,-ftree-vect-loop-version,-ftrapping-math,-fstrict-aliasing,,,
-fpeephole,1,1,1,1,1,,,Y,,,,TRUE,,,,-funit-at-a-time,-ftree-bit-ccp,-fthread-jumps,,,
-fpeephole2,0,0,1,1,,,,Y,,,,TRUE,,,,-fvar-tracking,-ftree-builtin-call-dce,-fno-threadsafe-statics,,,
